Mean Overscan Level (ADU),Detector,Amp,Run,READTIME setting,exp_id
26733.522422022423,R12_S12,C10,13040,2.232,3021111600200
26810.145992895992,R12_S12,C11,13040,2.232,3021111600200
26614.84371184371,R12_S12,C12,13040,2.232,3021111600200
26428.831316831318,R12_S12,C13,13040,2.232,3021111600200
26882.221944721943,R12_S12,C14,13040,2.232,3021111600200
26569.42612942613,R12_S12,C15,13040,2.232,3021111600200
26921.841935841934,R12_S12,C16,13040,2.232,3021111600200
26851.91097791098,R12_S12,C17,13040,2.232,3021111600200
26444.07779257779,R12_S12,C07,13040,2.232,3021111600200
26698.723295223295,R12_S12,C06,13040,2.232,3021111600200
26862.06968031968,R12_S12,C05,13040,2.232,3021111600200
26797.45806045806,R12_S12,C04,13040,2.232,3021111600200
26679.267935767937,R12_S12,C03,13040,2.232,3021111600200
26788.83044733045,R12_S12,C02,13040,2.232,3021111600200
26646.318117068116,R12_S12,C01,13040,2.232,3021111600200
26935.781653531652,R12_S12,C00,13040,2.232,3021111600200
26733.869556369555,R12_S12,C10,13040,2.232,3021111600201
26810.375772375774,R12_S12,C11,13040,2.232,3021111600201
26614.659766159766,R12_S12,C12,13040,2.232,3021111600201
26428.872460872462,R12_S12,C13,13040,2.232,3021111600201
26882.27108077108,R12_S12,C14,13040,2.232,3021111600201
26569.348114848115,R12_S12,C15,13040,2.232,3021111600201
26921.61063011063,R12_S12,C16,13040,2.232,3021111600201
26851.756086506088,R12_S12,C17,13040,2.232,3021111600201
26443.973082473083,R12_S12,C07,13040,2.232,3021111600201
26698.99997224997,R12_S12,C06,13040,2.232,3021111600201
26862.01022126022,R12_S12,C05,13040,2.232,3021111600201
26797.32612757613,R12_S12,C04,13040,2.232,3021111600201
26678.85324860325,R12_S12,C03,13040,2.232,3021111600201
26787.913956413955,R12_S12,C02,13040,2.232,3021111600201
26646.395576645577,R12_S12,C01,13040,2.232,3021111600201
26935.335636585638,R12_S12,C00,13040,2.232,3021111600201
26733.987854737854,R12_S12,C10,13040,2.232,3021111600202
26810.502525252527,R12_S12,C11,13040,2.232,3021111600202
26614.76761201761,R12_S12,C12,13040,2.232,3021111600202
26429.069809819808,R12_S12,C13,13040,2.232,3021111600202
26882.561697561698,R12_S12,C14,13040,2.232,3021111600202
26569.76036001036,R12_S12,C15,13040,2.232,3021111600202
26922.069893069893,R12_S12,C16,13040,2.232,3021111600202
26852.082223332225,R12_S12,C17,13040,2.232,3021111600202
26444.459013209012,R12_S12,C07,13040,2.232,3021111600202
26698.99925999926,R12_S12,C06,13040,2.232,3021111600202
26862.613784363784,R12_S12,C05,13040,2.232,3021111600202
26797.788304288304,R12_S12,C04,13040,2.232,3021111600202
26678.986864986866,R12_S12,C03,13040,2.232,3021111600202
26788.269748769748,R12_S12,C02,13040,2.232,3021111600202
26646.539516039516,R12_S12,C01,13040,2.232,3021111600202
26935.557747807747,R12_S12,C00,13040,2.232,3021111600202
26733.779581529583,R12_S12,C10,13040,2.232,3021111600203
26810.296555296554,R12_S12,C11,13040,2.232,3021111600203
26614.971583971583,R12_S12,C12,13040,2.232,3021111600203
26429.113294113293,R12_S12,C13,13040,2.232,3021111600203
26882.2786010286,R12_S12,C14,13040,2.232,3021111600203
26569.99383949384,R12_S12,C15,13040,2.232,3021111600203
26921.99420949421,R12_S12,C16,13040,2.232,3021111600203
26851.580974580975,R12_S12,C17,13040,2.232,3021111600203
26444.700133200135,R12_S12,C07,13040,2.232,3021111600203
26699.13986013986,R12_S12,C06,13040,2.232,3021111600203
26862.850667850667,R12_S12,C05,13040,2.232,3021111600203
26797.721315721315,R12_S12,C04,13040,2.232,3021111600203
26679.306129056127,R12_S12,C03,13040,2.232,3021111600203
26788.319920819922,R12_S12,C02,13040,2.232,3021111600203
26646.66183816184,R12_S12,C01,13040,2.232,3021111600203
26935.653938653937,R12_S12,C00,13040,2.232,3021111600203
26733.681272431273,R12_S12,C10,13040,2.232,3021111600204
26810.321678321678,R12_S12,C11,13040,2.232,3021111600204
26615.0908998409,R12_S12,C12,13040,2.232,3021111600204
26429.42636067636,R12_S12,C13,13040,2.232,3021111600204
26882.16638916639,R12_S12,C14,13040,2.232,3021111600204
26569.75838975839,R12_S12,C15,13040,2.232,3021111600204
26921.84692159692,R12_S12,C16,13040,2.232,3021111600204
26851.993894993895,R12_S12,C17,13040,2.232,3021111600204
26444.713277463277,R12_S12,C07,13040,2.232,3021111600204
26699.515429015428,R12_S12,C06,13040,2.232,3021111600204
26862.34867909868,R12_S12,C05,13040,2.232,3021111600204
26797.257511007512,R12_S12,C04,13040,2.232,3021111600204
26679.63385688386,R12_S12,C03,13040,2.232,3021111600204
26788.30352980353,R12_S12,C02,13040,2.232,3021111600204
26646.28700928701,R12_S12,C01,13040,2.232,3021111600204
26935.393014393016,R12_S12,C00,13040,2.232,3021111600204
26733.713138713138,R12_S12,C10,13040,2.232,3021111600205
26810.251406001407,R12_S12,C11,13040,2.232,3021111600205
26615.24679024679,R12_S12,C12,13040,2.232,3021111600205
26429.590603840603,R12_S12,C13,13040,2.232,3021111600205
26882.531015281016,R12_S12,C14,13040,2.232,3021111600205
26569.546453546453,R12_S12,C15,13040,2.232,3021111600205
26921.768185518187,R12_S12,C16,13040,2.232,3021111600205
26851.905548155548,R12_S12,C17,13040,2.232,3021111600205
26444.492932992933,R12_S12,C07,13040,2.232,3021111600205
26699.18253968254,R12_S12,C06,13040,2.232,3021111600205
26862.46472046472,R12_S12,C05,13040,2.232,3021111600205
26797.505281755282,R12_S12,C04,13040,2.232,3021111600205
26679.192437192436,R12_S12,C03,13040,2.232,3021111600205
26787.90984940985,R12_S12,C02,13040,2.232,3021111600205
26646.556841306843,R12_S12,C01,13040,2.232,3021111600205
26935.33557183557,R12_S12,C00,13040,2.232,3021111600205
26733.44450919451,R12_S12,C10,13040,2.232,3021111600206
26810.2527010027,R12_S12,C11,13040,2.232,3021111600206
26615.895373145373,R12_S12,C12,13040,2.232,3021111600206
26428.725848225848,R12_S12,C13,13040,2.232,3021111600206
26882.200623450623,R12_S12,C14,13040,2.232,3021111600206
26569.906103156103,R12_S12,C15,13040,2.232,3021111600206
26921.783355533356,R12_S12,C16,13040,2.232,3021111600206
26852.049644799645,R12_S12,C17,13040,2.232,3021111600206
26444.253404003404,R12_S12,C07,13040,2.232,3021111600206
26698.977596477598,R12_S12,C06,13040,2.232,3021111600206
26862.623681873683,R12_S12,C05,13040,2.232,3021111600206
26797.65785140785,R12_S12,C04,13040,2.232,3021111600206
26679.39948939949,R12_S12,C03,13040,2.232,3021111600206
26787.68326118326,R12_S12,C02,13040,2.232,3021111600206
26646.368862618863,R12_S12,C01,13040,2.232,3021111600206
26935.35841010841,R12_S12,C00,13040,2.232,3021111600206
26733.36250786251,R12_S12,C10,13040,2.232,3021111600207
26809.899295149295,R12_S12,C11,13040,2.232,3021111600207
26615.11542161542,R12_S12,C12,13040,2.232,3021111600207
26428.689125689125,R12_S12,C13,13040,2.232,3021111600207
26882.303344803346,R12_S12,C14,13040,2.232,3021111600207
26569.210567210568,R12_S12,C15,13040,2.232,3021111600207
26921.688302438302,R12_S12,C16,13040,2.232,3021111600207
26852.22619047619,R12_S12,C17,13040,2.232,3021111600207
26444.222832722833,R12_S12,C07,13040,2.232,3021111600207
26698.910154660156,R12_S12,C06,13040,2.232,3021111600207
26862.370148370148,R12_S12,C05,13040,2.232,3021111600207
26797.528998779,R12_S12,C04,13040,2.232,3021111600207
26679.132978132977,R12_S12,C03,13040,2.232,3021111600207
26787.831492581492,R12_S12,C02,13040,2.232,3021111600207
26645.97432197432,R12_S12,C01,13040,2.232,3021111600207
26935.405686905688,R12_S12,C00,13040,2.232,3021111600207
26733.237956487956,R12_S12,C10,13040,2.232,3021111600208
26810.046953046953,R12_S12,C11,13040,2.232,3021111600208
26615.551087801086,R12_S12,C12,13040,2.232,3021111600208
26429.202621452623,R12_S12,C13,13040,2.232,3021111600208
26881.74951899952,R12_S12,C14,13040,2.232,3021111600208
26569.43719243719,R12_S12,C15,13040,2.232,3021111600208
26921.403365153365,R12_S12,C16,13040,2.232,3021111600208
26852.053206053206,R12_S12,C17,13040,2.232,3021111600208
26443.937072187073,R12_S12,C07,13040,2.232,3021111600208
26698.63109113109,R12_S12,C06,13040,2.232,3021111600208
26862.11715136715,R12_S12,C05,13040,2.232,3021111600208
26797.517075517077,R12_S12,C04,13040,2.232,3021111600208
26679.1657971658,R12_S12,C03,13040,2.232,3021111600208
26787.446914196913,R12_S12,C02,13040,2.232,3021111600208
26646.036972286973,R12_S12,C01,13040,2.232,3021111600208
26934.93833018833,R12_S12,C00,13040,2.232,3021111600208
26733.730944980944,R12_S12,C10,13040,2.232,3021111600209
26810.013884263884,R12_S12,C11,13040,2.232,3021111600209
26615.301522551523,R12_S12,C12,13040,2.232,3021111600209
26428.840233840234,R12_S12,C13,13040,2.232,3021111600209
26882.0636030636,R12_S12,C14,13040,2.232,3021111600209
26569.750277500276,R12_S12,C15,13040,2.232,3021111600209
26920.904475154475,R12_S12,C16,13040,2.232,3021111600209
26851.684694934695,R12_S12,C17,13040,2.232,3021111600209
26443.730278980278,R12_S12,C07,13040,2.232,3021111600209
26698.63396788397,R12_S12,C06,13040,2.232,3021111600209
26862.10555185555,R12_S12,C05,13040,2.232,3021111600209
26796.844664594664,R12_S12,C04,13040,2.232,3021111600209
26679.413105413107,R12_S12,C03,13040,2.232,3021111600209
26787.700937950936,R12_S12,C02,13040,2.232,3021111600209
26646.257964257966,R12_S12,C01,13040,2.232,3021111600209
26935.578023828024,R12_S12,C00,13040,2.232,3021111600209
26733.426924926924,R12_S12,C10,13040,2.232,3021111600210
26810.28724053724,R12_S12,C11,13040,2.232,3021111600210
26615.19015244015,R12_S12,C12,13040,2.232,3021111600210
